Account Owner,Territory Name,Fit Score,Priority,Account ID,Account Name,Website,Annual Revenue,Current E-Commerce Platform,Industry,Sales Notes,Engagment Approach,Owner/ Driver,"Featured Campaigns, Events & Webinars",Revenue Plays,Comments
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Low,001OG000015zSdVYAU,Hyne Timber,http://hyne.com.au,"USD 200,000,000",,Stationery & Office Supplies,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,High,0018V00002kQJOkQAO,Le Coq Sportif,lecoqsportifaustraliashop.com,"USD 119,914,000",Shopify Plan Advanced/Basic,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Medium,0018V00002gpv4dQAA,Mico,mico.co.nz,"USD 47,344,000",BigCommerce,Home Decor,,Outbound Motions,Shina,Select,Select,"Reviewed for BigCommerce OB cadence - primarily B2B operations.
- Shina, 13 Feb 2026"
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Poor Fit,Low,0018V00002kQJJlQAO,Pacificomm Group,pacificomm.co.nz,"USD 45,131,000",Custom Build,Electronics & Gadgets,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Excellent Fit,Low,0018V00002kQJHQQA4,Brickworks Building Products,brickworksbuildingproducts.com.au,"USD 39,985,000",Shopify Plan Advanced/Basic,Home Decor,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,0018V00002sP5SpQAK,University of Queensland Union,uqunion.com.au,"USD 39,279,000",WooCommerce,Education,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,,001OG00000kHCo6YAG,Cricket Network Australia,cricket.com.au,"USD 38,482,691",Other,Sports & Recreation (excl. Firearms),,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,Low,0018V00002qytKjQAI,JATCORP,jatcorp.com,"USD 37,991,000",WooCommerce,Health & Beauty (excl. Pharma),B2B only - milk products,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,001OG00000kHhfAYAS,totalenergies.com.au,http://totalenergies.com.au,"USD 37,474,914",Custom Build,Construction & Industrial,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Excellent Fit,Low,0018V00002kQJGnQAO,Haircare Group,haircareaust.com,"USD 37,325,000",Adobe Commerce (Magento),Health & Beauty (excl. Pharma),"Open opp under Gauvin Group with AK - SA, 21 Jan 2026",Open Opp,Amaly,Select,Select,"Open opp under Gauvin Group with AK - SA, 21 Jan 2026"
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_04,Potential Fit,Low,001OG00001DSx7fYAD,Nsmg,http://nsmg.co.nz,"USD 37,301,000",,Vehicles & Parts,,Select,Select,Select,Select,
Chachi Apolinario,APAC_Mid-Mkt_ANZ_All_A_D2CRetail_02,Potential Fit,,001OG000016MvuvYAC,grabone,http://grabone.co.nz,"USD 37,288,275",,Health & Beauty (excl. Pharma),,Select,Select,Select,Select,
